Crop Name,Land Required (per acre),Avg Yield (per acre),Cost of Cultivation (₹),Selling Price (₹/quintal or per kg),Avg Profit Margin,Market Demand,Suitability (Weather/Soil),Risk Factors,Recommended For
Basmati Rice,1 acre,15–25 quintals,62405,"₹2,500–₹4,000/quintal",~63%,High (staple),"High rainfall/irrigation, clay loam",Market price fluctuation,Beginners
Non-Basmati Rice,1 acre,15–25 quintals,60184,"₹2,500–₹4,000/quintal",~54%,High (staple),"High rainfall/irrigation, clay loam",Low rainfall risk,Medium-scale farmers
Wheat,1 acre,20–25 quintals,26662,"₹2,000–₹2,800/quintal",~41%,High (staple),"Alluvial/loam soils, region-specific seasonality",Storage/transport risk,Smallholders
Maize (Corn),1 acre,15–25 quintals,62186,"₹1,600–₹2,200/quintal",~33%,High (staple),"Alluvial/loam soils, region-specific seasonality",Pest risk,Smallholders
Barley,1 acre,8–30 quintals,86985,"₹1,500–₹6,000/quintal",~75%,Growing,"Alluvial/loam soils, region-specific seasonality",Market price fluctuation,Beginners
Finger Millet (Ragi),1 acre,8–30 quintals,32479,"₹1,500–₹6,000/quintal",~51%,Moderate,"Alluvial/loam soils, region-specific seasonality",Low rainfall risk,Large-scale farms
Pearl Millet (Bajra),1 acre,6–12 tons,72512,"₹1,500–₹6,000/quintal",~42%,Stable,"Alluvial/loam soils, region-specific seasonality",Pest risk,Investors
Sorghum (Jowar),1 acre,8–30 quintals,51541,"₹1,500–₹6,000/quintal",~79%,Growing,"Alluvial/loam soils, region-specific seasonality",Storage/transport risk,Medium-scale farmers
Lentils (Masoor),1 acre,8–15 quintals,39834,"₹1,500–₹6,000/quintal",~31%,Moderate,"Alluvial/loam soils, region-specific seasonality",Pest risk,Investors
Chickpea (Gram),1 acre,8–15 quintals,36045,"₹1,500–₹6,000/quintal",~82%,Growing,"Alluvial/loam soils, region-specific seasonality",Pest risk,Medium-scale farmers
Green Gram (Moong),1 acre,8–15 quintals,50469,"₹1,500–₹6,000/quintal",~88%,Moderate,"Alluvial/loam soils, region-specific seasonality",Storage/transport risk,Large-scale farms
Black Gram (Urad),1 acre,8–30 quintals,39107,"₹1,500–₹6,000/quintal",~59%,Local demand,"Alluvial/loam soils, region-specific seasonality",Storage/transport risk,Medium-scale farmers
Peas (Garden Pea),1 acre,8–30 quintals,65212,"₹1,500–₹6,000/quintal",~78%,Stable,"Alluvial/loam soils, region-specific seasonality",Market price fluctuation,Large-scale farms
Cowpea (Lobia),1 acre,8–30 quintals,30583,"₹1,500–₹6,000/quintal",~68%,Local demand,"Alluvial/loam soils, region-specific seasonality",Low rainfall risk,Smallholders
Mustard (Rapeseed),1 acre,8–30 quintals,89438,"₹1,500–₹6,000/quintal",~88%,Stable,"Alluvial/loam soils, region-specific seasonality",Storage/transport risk,Beginners
Groundnut,1 acre,8–30 quintals,22083,"₹1,500–₹6,000/quintal",~65%,Growing,"Alluvial/loam soils, region-specific seasonality",Storage/transport risk,Medium-scale farmers
Sesame (Til),1 acre,8–30 quintals,89973,"₹1,500–₹6,000/quintal",~47%,Moderate,"Alluvial/loam soils, region-specific seasonality",Storage/transport risk,Smallholders
Sunflower,1 acre,8–30 quintals,47354,"₹1,500–₹6,000/quintal",~53%,Growing,"Alluvial/loam soils, region-specific seasonality",Market price fluctuation,Beginners
Tomato,1 acre,120–220 quintals,44204,"₹700–₹1,300/quintal",~25%,Very High (daily market),"Loam/sandy loam, moderate rainfall","Price volatility, pest/disease risk",Medium-scale farmers
Potato,1 acre,200–300 quintals,69695,₹600–₹900/quintal,~48%,Very High (daily market),"Loam/sandy loam, moderate rainfall","Price volatility, pest/disease risk",Large-scale farms
Onion,1 acre,200–350 quintals,67090,"₹700–₹1,200/quintal",~34%,Very High (daily market),"Alluvial/loam soils, region-specific seasonality","Price volatility, pest/disease risk",Medium-scale farmers
Brinjal (Eggplant),1 acre,8–30 quintals,22239,"₹1,500–₹6,000/quintal",~87%,Stable,"Alluvial/loam soils, region-specific seasonality",Pest risk,Large-scale farms
Cabbage,1 acre,8–30 quintals,86445,"₹1,500–₹6,000/quintal",~80%,Moderate,"Alluvial/loam soils, region-specific seasonality",Storage/transport risk,Beginners
Cauliflower,1 acre,8–30 quintals,37069,"₹1,500–₹6,000/quintal",~26%,Local demand,"Alluvial/loam soils, region-specific seasonality",Storage/transport risk,Smallholders
Capsicum (Bell Pepper),1 acre,8–30 quintals,89619,"₹1,500–₹6,000/quintal",~90%,Moderate,"Alluvial/loam soils, region-specific seasonality",Pest risk,Beginners
Bottle Gourd,1 acre,8–30 quintals,49012,"₹1,500–₹6,000/quintal",~37%,Growing,"Alluvial/loam soils, region-specific seasonality",Pest risk,Investors
Bitter Gourd,1 acre,8–30 quintals,83452,"₹1,500–₹6,000/quintal",~71%,Moderate,"Alluvial/loam soils, region-specific seasonality",Pest risk,Medium-scale farmers
Okra (Bhindi),1 acre,8–30 quintals,37299,"₹1,500–₹6,000/quintal",~86%,Growing,"Alluvial/loam soils, region-specific seasonality",Pest risk,Investors
Cucumber,1 acre,8–30 quintals,59829,"₹1,500–₹6,000/quintal",~73%,Growing,"Alluvial/loam soils, region-specific seasonality",Market price fluctuation,Medium-scale farmers
Spinach,1 acre,8–30 quintals,25877,"₹1,500–₹6,000/quintal",~80%,Stable,"Alluvial/loam soils, region-specific seasonality",Pest risk,Large-scale farms
Fenugreek (Methi),1 acre,8–30 quintals,37081,"₹1,500–₹6,000/quintal",~60%,Moderate,"Alluvial/loam soils, region-specific seasonality",Market price fluctuation,Smallholders
Carrot,1 acre,8–30 quintals,74284,"₹1,500–₹6,000/quintal",~30%,Moderate,"Alluvial/loam soils, region-specific seasonality",Storage/transport risk,Investors
Radish,1 acre,8–30 quintals,46663,"₹1,500–₹6,000/quintal",~57%,Moderate,"Alluvial/loam soils, region-specific seasonality",Pest risk,Investors
Apple (Hill),1 acre,6–12 tons,134490,₹40–₹90/kg,~54%,Premium / Urban demand,"Cool/hill climate, well-drained soil",High climate sensitivity / infrastructure cost,Experienced/high-investment growers
Mango,1 acre,8–30 quintals,38374,"₹1,500–₹6,000/quintal",~83%,Local demand,"Alluvial/loam soils, region-specific seasonality",Storage/transport risk,Large-scale farms
Guava,1 acre,8–30 quintals,71309,"₹1,500–₹6,000/quintal",~44%,Moderate,"Alluvial/loam soils, region-specific seasonality",Low rainfall risk,Medium-scale farmers
Papaya,1 acre,8–30 quintals,32649,"₹1,500–₹6,000/quintal",~87%,Local demand,"Alluvial/loam soils, region-specific seasonality",Storage/transport risk,Beginners
Pomegranate,1 acre,8–30 quintals,88773,"₹1,500–₹6,000/quintal",~43%,Growing,"Alluvial/loam soils, region-specific seasonality",Storage/transport risk,Smallholders
Strawberry (Polyhouse),1 acre,4–10 tons,120261,₹80–₹150/kg,~92%,Premium / Urban demand,"Alluvial/loam soils, region-specific seasonality",High climate sensitivity / infrastructure cost,Modern tech farms / investors
Pear,1 acre,6–12 tons,88885,"₹1,500–₹6,000/quintal",~90%,Local demand,"Alluvial/loam soils, region-specific seasonality",Market price fluctuation,Smallholders
